Index,CountryOfInterest,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,CasesPerMil,DeathsPerMil,TotalTests,TestsPerMil,Population,Continent,,,,,,,
205,United States of America,"3,100,272","134,055","1,355,681","1,610,536","9,365",405,"38,832,363","117,304","331,039,330",NorthAmerica,,,,,,,
27,Brazil,"1,674,655","66,868","1,117,922","489,865","7,878",315,"4,359,978","20,509","212,587,032",SouthAmerica,,,,,,,
72,India,"754,152","20,820","464,741","268,591",546,15,"10,473,771","7,588","1,380,233,788",Asia,,,,,,,
160,Russia,"700,792","10,667","472,511","217,614","4,802",73,"21,790,705","149,317","145,935,812",Europe,,,,,,,
153,Peru,"309,278","10,952","200,938","97,388","9,378",332,"1,821,328","55,227","32,978,661",SouthAmerica,,,,,,,
42,Chile,"301,019","6,434","268,245","26,340","15,744",337,"1,210,326","63,305","19,119,079",SouthAmerica,,,,,,,
181,Spain,"299,210","28,392",N/A,N/A,"6,400",607,"5,734,599","122,652","46,755,169",Europe,,,,,,,
202,United Kingdom,"286,979","44,517",N/A,N/A,"4,227",656,"11,041,203","162,627","67,892,858",Europe,,,,,,,
128,Mexico,"268,008","32,014","163,646","72,348","2,078",248,"668,537","5,184","128,955,195",NorthAmerica,,,,,,,
74,Iran,"248,379","12,084","209,463","26,832","2,957",144,"1,872,391","22,288","84,009,505",Asia,,,,,,,
99,Italy,"241,956","34,899","192,815","14,242","4,002",577,"5,703,673","94,338","60,459,826",Europe,,,,,,,
148,Pakistan,"237,489","4,922","140,965","91,602","1,075",22,"1,467,104","6,640","220,943,702",Asia,,,,,,,
169,Saudi Arabia,"220,144","2,059","158,050","60,035","6,322",59,"2,071,823","59,498","34,821,448",Asia,,,,,,,
50,South Africa,"215,855","3,502","102,299","110,054","3,639",59,"1,907,532","32,156","59,320,279",Africa,,,,,,,
198,Turkey,"207,897","5,260","185,292","17,345","2,465",62,"3,733,218","44,257","84,353,985",Asia,,,,,,,
76,Germany,"198,561","9,105","182,700","6,756","2,370",109,"5,873,563","70,099","83,789,358",Europe,,,,,,,
64,Bangladesh,"172,134","2,197","80,838","89,099","1,045",13,"892,152","5,416","164,717,016",Asia,,,,,,,
70,France,"168,810","29,933","77,655","61,222","2,586",459,"1,384,633","21,212","65,276,501",Europe,,,,,,,
