Index,CountryOfInterest,TotalCases,TotalDeaths,CasesPerMil,DeathsPerMil,TotalTests,TestsPerMil,Population,Continent,RandomX,RandomY,,,,,,,,,,,,,,
44,Afghanistan,"33,594",936,863,24,"77,501","1,990","38,937,410",Asia,147,42,,,,,,,,,,,,,,
101,Albania,"3,106",83,"1,079",29,"26,637","9,256","2,877,727",Europe,13,168,,,,,,,,,,,,,,
60,Algeria,"16,879",968,385,22,0,0,"43,861,089",Africa,105,157,,,,,,,,,,,,,,
144,Andorra,855,52,"11,065",673,"3,750","48,532","77,268",Europe,76,50,,,,,,,,,,,,,,
157,Angola,386,21,12,0.6,"10,000",304,"32,872,107",Africa,43,55,,,,,,,,,,,,,,
213,Anguilla,3,0,200,0,305,"20,327","15,005",NorthAmerica,182,9,,,,,,,,,,,,,,
215,Antarctica,0,0,0,0,0,0,0,Antarctica,138,128,,,,,,,,,,,,,,
187,Antigua-Barbuda,70,3,715,31,796,"8,127","97,943",NorthAmerica,125,22,,,,,,,,,,,,,,
23,Argentina,"83,426","1,654","1,846",37,"423,782","9,375","45,202,923",SouthAmerica,84,8,,,,,,,,,,,,,,
49,Armenia,"29,820",521,"10,063",176,"127,171","42,914","2,963,359",Asia,131,30,,,,,,,,,,,,,,
179,Aruba,105,3,983,28,"2,842","26,617","106,775",NorthAmerica,100,83,,,,,,,,,,,,,,
71,Australia,"8,886",106,348,4,"2,853,342","111,875","25,504,621",Oceania,227,89,,,,,,,,,,,,,,
57,Austria,"18,513",706,"2,055",78,"668,220","74,186","9,007,373",Europe,193,159,,,,,,,,,,,,,,
55,Azerbaijan,"21,916",274,"2,161",27,"537,230","52,977","10,140,760",Asia,112,82,,,,,,,,,,,,,,
180,Bahamas,104,11,264,28,"2,467","6,272","393,308",NorthAmerica,32,57,,,,,,,,,,,,,,
47,Bahrain,"30,321",98,"17,817",58,"621,362","365,122","1,701,793",Asia,99,214,,,,,,,,,,,,,,
17,Bangladesh,"172,134","2,197","1,045",13,"892,152","5,416","164,717,016",Asia,76,64,,,,,,,,,,,,,,
181,Barbados,98,7,341,24,"8,411","29,268","287,382",NorthAmerica,72,176,,,,,,,,,,,,,,
28,Belarus,"64,224",443,"6,797",47,"1,087,245","115,061","9,449,255",Europe,195,153,,,,,,,,,,,,,,
30,Belgium,"62,123","9,776","5,360",843,"1,322,052","114,062","11,590,614",Europe,196,49,,,,,,,,,,,,,,
193,Belize,30,2,75,5,"2,459","6,183","397,719",NorthAmerica,216,114,,,,,,,,,,,,,,
128,Benin,"1,199",21,99,2,"56,613","4,669","12,125,860",Africa,154,202,,,,,,,,,,,,,,
174,Bermuda,148,9,"2,377",145,"12,544","201,436","62,273",NorthAmerica,142,80,,,,,,,,,,,,,,
185,Bhutan,80,0,104,0,"26,128","33,856","771,747",Asia,201,101,,,,,,,,,,,,,,
40,Bolivia,"41,545","1,530","3,558",131,"90,651","7,764","11,675,405",SouthAmerica,134,193,,,,,,,,,,,,,,
85,Bosnia and Herz.,"5,869",209,"1,789",64,"104,343","31,809","3,280,314",Europe,165,157,,,,,,,,,,,,,,
163,Botswana,314,1,133,0.4,"47,860","20,347","2,352,176",Africa,11,98,,,,,,,,,,,,,,
2,Brazil,"1,674,655","66,868","7,878",315,"4,359,978","20,509","212,587,032",SouthAmerica,147,138,,,,,,,,,,,,,,
210,British Virgin Isl,8,1,265,33,439,"14,520","30,235",NorthAmerica,2,108,,,,,,,,,,,,,,
175,Brunei,141,3,322,7,"29,841","68,200","437,550",Asia,89,97,,,,,,,,,,,,,,
84,Bulgaria,"6,102",254,878,37,"159,818","23,005","6,947,117",Europe,49,65,,,,,,,,,,,,,,
137,Burkina Faso,"1,003",53,48,3,0,0,"20,907,695",Africa,93,14,,,,,,,,,,,,,,
170,Burundi,191,1,16,0.08,749,63,"11,893,062",Africa,3,59,,,,,,,,,,,,,,
124,Cabo Verde,"1,499",18,"2,696",32,"39,485","71,005","556,086",Africa,170,140,,,,,,,,,,,,,,
176,Cambodia,141,0,8,,"41,733","2,496","16,722,405",Asia,152,202,,,,,,,,,,,,,,
62,Cameroon,"14,916",359,562,14,0,0,"26,551,860",Africa,229,197,,,,,,,,,,,,,,
20,Canada,"106,167","8,711","2,813",231,"3,020,172","80,009","37,747,927",NorthAmerica,59,148,,,,,,,,,,,,,,
211,Caribbean Netherlands,7,0,267,0,424,"16,167","26,227",NorthAmerica,122,87,,,,,,,,,,,,,,
169,Cayman Islands,201,1,"3,058",15,"25,220","383,668","65,734",NorthAmerica,173,135,,,,,,,,,,,,,,
96,Central African Rep.,"4,071",52,843,11,"25,872","5,356","4,830,862",Africa,135,9,,,,,,,,,,,,,,
143,Chad,873,74,53,5,0,0,"16,429,175",Africa,222,79,,,,,,,,,,,,,,
153,Channel Islands,577,47,"3,318",270,"21,388","122,997","173,891",Europe,103,40,,,,,,,,,,,,,,
6,Chile,"301,019","6,434","15,744",337,"1,210,326","63,305","19,119,079",SouthAmerica,95,176,,,,,,,,,,,,,,
22,China,"83,572","4,634",58,3,"90,410,000","62,814","1,439,323,776",Asia,94,103,,,,,,,,,,,,,,
19,Colombia,"124,494","4,359","2,446",86,"902,305","17,730","50,891,834",SouthAmerica,13,184,,,,,,,,,,,,,,
164,Comoros,311,7,358,8,0,0,"869,804",Africa,208,76,,,,,,,,,,,,,,
118,Congo,"1,821",44,282,8,0,0,"5,519,340",Africa,82,43,,,,,,,,,,,,,,
89,Costa Rica,"5,486",23,"1,077",5,"49,717","9,758","5,094,921",NorthAmerica,32,139,,,,,,,,,,,,,,
67,Côte d'Ivoire,"11,194",76,424,3,"67,168","2,546","26,384,247",Africa,192,99,,,,,,,,,,,,,,
99,Croatia,"3,325",114,810,28,"88,235","21,496","4,104,641",Europe,13,91,,,,,,,,,,,,,,
108,Cuba,"2,399",86,212,8,"189,599","16,739","11,326,463",NorthAmerica,173,185,,,,,,,,,,,,,,
197,Curaçao,23,1,140,6,"1,080","6,581","164,106",NorthAmerica,162,53,,,,,,,,,,,,,,
136,Cyprus,"1,005",19,832,16,"167,394","138,626","1,207,519",Asia,38,192,,,,,,,,,,,,,,
66,Czech Rep.,"12,685",351,"1,184",33,"574,769","53,670","10,709,396",Europe,87,3,,,,,,,,,,,,,,
77,Dem. Rep. Congo,"7,659",0,0,0,0,0,"101,780,263",Africa,65,90,,,,,,,,,,,,,,
65,Denmark,"12,900",609,"2,227",105,"1,174,919","202,831","5,792,611",Europe,63,33,,,,,,,,,,,,,,
93,Djibouti,"4,878",55,"4,936",56,"48,170","48,745","988,208",Africa,214,60,,,,,,,,,,,,,,
202,Dominica,18,0,250,0,623,"8,654","71,990",NorthAmerica,90,166,,,,,,,,,,,,,,
42,Dominican Republic,"38,430",821,"3,542",76,"169,999","15,668","10,849,739",NorthAmerica,118,108,,,,,,,,,,,,,,
79,DRC,"7,432",182,83,2,0,0,"89,577,994",Africa,192,178,,,,,,,,,,,,,,
29,Ecuador,"63,245","4,873","3,584",276,"168,272","9,536","17,646,852",SouthAmerica,74,165,,,,,,,,,,,,,,
24,Egypt,"77,279","3,489",755,34,"135,000","1,319","102,358,079",Africa,94,63,,,,,,,,,,,,,,
